gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,pwo1_target,ubp5_target
AT1G75100,downregulated,"Contains a J-domain at the C-terminus which is similar to the J-domain of auxilin, a clathrin-uncoating factor in cow, yeast and worm. Arabidopsis contains 6 other proteins similar to auxilin.  Expressed in leaves and stems, but not in roots. Localized in the cytoplasm. Required for the chloroplast accumulation response, but not for the avoidance response. No molecular function known.",J-DOMAIN PROTEIN REQUIRED FOR CHLOROPLAST ACCUMULATION RESPONSE 1 (JAC1),-0.577382407118684,0.00368470881549587,FALSE,FALSE
AT1G75200,upregulated,"flavodoxin family protein / radical SAM domain-containing protein; FUNCTIONS IN: iron-sulfur cluster binding, oxidoreductase activity, FMN binding, catalytic activity; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Flavodoxin/nitric oxide synthase (InterPro:IPR008254), Radical SAM (InterPro:IPR007197), Wyosine base formation (InterPro:IPR013917); BEST Arabidopsis thaliana protein match is: P450 reductase 2 (TAIR:AT4G30210.2); Has 3108 Blast hits to 3089 proteins in 883 species: Archae - 191; Bacteria - 976; Metazoa - 668; Fungi - 593; Plants - 205; Viruses - 0; Other Eukaryotes - 475 (source: NCBI BLink).",NA,0.46719613141327,0.00376886124207967,FALSE,FALSE
AT1G75250,downregulated,"RAD-like 6 (RL6); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), Homeodomain-like (InterPro:IPR009057); BEST Arabidopsis thaliana protein match is: RAD-like 5 (TAIR:AT1G19510.1); Has 590 Blast hits to 589 proteins in 66 species: Archae - 0; Bacteria - 0; Metazoa - 121; Fungi - 0; Plants - 466; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).",RAD-LIKE 6 (ATRL6);RAD-LIKE 6 (RL6);RADIALIS-LIKE SANT/MYB 3 (RSM3),-1.07385326344897,4.15763283546881e-4,FALSE,FALSE
AT1G75380,downregulated,Encodes a nucleases AtBBD1 involved in ABA-mediated callose deposition.,BIFUNCTIONAL NUCLEASE IN BASAL DEFENSE RESPONSE 1 (BBD1);BIFUNCTIONAL NUCLEASE IN BASAL DEFENSE RESPONSE 1 (ATBBD1),-0.519821172468694,5.56760982036239e-4,FALSE,TRUE
AT1G75950,downregulated,"SKP1 is core component of the SCF family of E3 ubiquitin ligases and serves to tether the rest of the complex to an F-box protein, which  provides specificity in binding to ubiquitin ligase substrate proteins. Predominately expressed from leptotene  to pachytene. Negatively regulates recombination. Interacts with P0, a silencing suppressor protein encoded by poleroviruses by means of a conserved minimal F-box motif.",S PHASE KINASE-ASSOCIATED PROTEIN 1 (SKP1);ARABIDOPSIS SKP1 HOMOLOGUE 1 (ASK1);UFO INTERACTING PROTEIN 1 (UIP1); (SKP1A); (ATSKP1),-0.437046437620044,0.00194145253563185,TRUE,TRUE
AT1G76100,downregulated,One of two Arabidopsis plastocyanin genes. Expressed at 1/10th level of PETE2. Does not respond to increased copper levels and is thought to be the isoform that participates in electron transport under copper-limiting conditions. Mutation of this gene does not have obvious effect on photosynthesis.,PLASTOCYANIN 1 (PETE1),-0.797966371420981,1.2991752535275e-6,FALSE,FALSE
AT1G76110,downregulated,"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular, nucleus; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: High mobility group, superfamily (InterPro:IPR009071), High mobility group, HMG1/HMG2 (InterPro:IPR000910), ARID/BRIGHT DNA-binding domain (InterPro:IPR001606); BEST Arabidopsis thaliana protein match is: HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain (TAIR:AT1G04880.1); Has 3338 Blast hits to 2805 proteins in 278 species: Archae - 0; Bacteria - 0; Metazoa - 2430; Fungi - 276; Plants - 321; Viruses - 0; Other Eukaryotes - 311 (source: NCBI BLink).",NA,-0.633155320766173,2.89427648326854e-5,FALSE,FALSE
AT1G76160,upregulated,"SKU5 similar 5 (sks5); FUNCTIONS IN: oxidoreductase activity, copper ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: apoplast, cell wall, plant-type cell wall; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Multicopper oxidase, type 3 (InterPro:IPR011707), Cupredoxin (InterPro:IPR008972), Multicopper oxidase, type 2 (InterPro:IPR011706), Multicopper oxidase, type 1 (InterPro:IPR001117); BEST Arabidopsis thaliana protein match is: SKU5-similar 6 (TAIR:AT1G41830.1); Has 5094 Blast hits to 5026 proteins in 887 species: Archae - 12; Bacteria - 1432; Metazoa - 265; Fungi - 1965; Plants - 1269; Viruses - 0; Other Eukaryotes - 151 (source: NCBI BLink).",SKU5 SIMILAR 5 (sks5),0.498683942514545,4.10486665306598e-4,TRUE,FALSE
AT1G76610,downregulated,"Protein of unknown function, DUF617; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF617, plant (InterPro:IPR006460); BEST Arabidopsis thaliana protein match is: Protein of unknown function, DUF617 (TAIR:AT1G21050.1); Has 256 Blast hits to 256 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 256; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",NA,-1.20945217328493,0.00106148045476515,FALSE,FALSE
AT1G76720,downregulated,"eukaryotic translation initiation factor 2 (eIF-2) family protein; FUNCTIONS IN: GTP binding, GTPase activity, translation initiation factor activity; INVOLVED IN: translational initiation; LOCATED IN: cellular_component unknown; EXPRESSED IN: guard cell, cultured cell; CONTAINS InterPro DOMAIN/s: Small GTP-binding protein (InterPro:IPR005225), Translation elongation factor EFTu/EF1A, domain 2 (InterPro:IPR004161), Translation initiation factor 2 related (InterPro:IPR015760), Protein synthesis factor, GTP-binding (InterPro:IPR000795), Translation elongation/initiation factor/Ribosomal, beta-barrel (InterPro:IPR009000); BEST Arabidopsis thaliana protein match is: eukaryotic translation initiation factor 2 (eIF-2) family protein (TAIR:AT1G76820.1); Has 176116 Blast hits to 120626 proteins in 4229 species: Archae - 1560; Bacteria - 50188; Metazoa - 57384; Fungi - 15710; Plants - 7705; Viruses - 672; Other Eukaryotes - 42897 (source: NCBI BLink).",NA,-0.97642473447383,2.67347055584396e-4,TRUE,TRUE
AT1G76955,downregulated,Expressed protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,NA,-1.06748002813633,0.00237999211631282,FALSE,FALSE
AT1G76960,downregulated,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: 8 growth stages; Has 8 Blast hits to 8 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 8; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-1.10848728950808,3.89068080875795e-6,FALSE,FALSE
AT1G77210,downregulated,AtSTP14 belongs to the family of sugar transport proteins (AtSTPs)in volved in monosaccharide transport. Heterologous expression in yeast revealed that AtSTP14 is the transporter specifc for galactose and does not transport other monosaccharides such as glucose or fructose.,SUGAR TRANSPORT PROTEIN 14 (AtSTP14);SUGAR TRANSPORT PROTEIN 14 (STP14),-0.577336249986969,5.2475783645638e-4,FALSE,FALSE
AT1G77330,upregulated,similar to 1-aminocyclopropane-1-carboxylate oxidase GI:3386565 from (Sorghum bicolor),NA,0.837639058343013,0.00198940806747061,FALSE,FALSE
AT1G77380,upregulated,Amino acid permease which transports basic amino acids.,(ATAAP3);AMINO ACID PERMEASE 3 (AAP3),1.07613227318138,1.66651605707249e-4,FALSE,FALSE
AT1G77640,upregulated,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.",NA,1.3715274184056,5.03475305250934e-4,FALSE,FALSE
AT1G77720,downregulated,Encodes a predicted protein kinase based on sequence similarity.,PUTATIVE PROTEIN KINASE 1 (PPK1),-0.570188740431158,0.00277405748778998,TRUE,TRUE
AT1G77760,upregulated,"Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus, and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD, heme iron (cytochrome B-557), and molybdenum-pterin.",NITRATE REDUCTASE 1 (NIA1);NITRATE REDUCTASE 1 (NR1); (GNR1),0.992116857632508,0.00149438508776798,FALSE,TRUE
AT1G77960,downregulated,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G28630.4); Has 13187 Blast hits to 6837 proteins in 407 species: Archae - 0; Bacteria - 447; Metazoa - 4509; Fungi - 1333; Plants - 399; Viruses - 45; Other Eukaryotes - 6454 (source: NCBI BLink).,NA,-5.15880051728629,7.79307835032068e-20,FALSE,FALSE
AT1G78070,downregulated,"Transducin/WD40 repeat-like superfamily protein; CONTAINS InterPro DOMAIN/s: WD40 repeat 2 (InterPro:IPR019782), WD40 repeat-like-containing domain (InterPro:IPR011046), WD40 repeat, conserved site (InterPro:IPR019775), WD40-repeat-containing domain (InterPro:IPR017986), WD40/YVTN repeat-like-containing domain (InterPro:IPR015943), WD40 repeat (InterPro:IPR001680), WD40 repeat, subgroup (InterPro:IPR019781); BEST Arabidopsis thaliana protein match is: Transducin/WD40 repeat-like superfamily protein (TAIR:AT1G36070.1); Has 25796 Blast hits to 12397 proteins in 585 species: Archae - 64; Bacteria - 7254; Metazoa - 7661; Fungi - 5235; Plants - 2447; Viruses - 0; Other Eukaryotes - 3135 (source: NCBI BLink).",NA,-0.699146031585002,2.43627092420495e-5,FALSE,FALSE
AT1G78490,downregulated,member of CYP708A,"CYTOCHROME P450, FAMILY 708, SUBFAMILY A, POLYPEPTIDE 3 (CYP708A3)",-0.525375091450757,0.0015068985056486,FALSE,FALSE
AT1G78970,downregulated,Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation.,ARABIDOPSIS THALIANA LUPEOL SYNTHASE 1 (ATLUP1);LUPEOL SYNTHASE 1 (LUP1),-0.605543822683405,0.00107349005674814,FALSE,FALSE
AT1G79560,upregulated,Encodes an FtsH protease that is localized to the chloroplast. Mutations in this locus result in embryo lethality.,EMBRYO DEFECTIVE 156 (EMB156);FTSH PROTEASE 12 (FTSH12);EMBRYO DEFECTIVE 1047 (EMB1047);EMBRYO DEFECTIVE 36 (EMB36),0.543077553026344,7.70105749920195e-4,FALSE,TRUE
AT1G79790,downregulated,Encodes a chloroplast-localized FMN hydrolase that whose phosphatase activity is FMN-specific.,ARABIDOPSIS THALIANA CHLOROPLAST FMN HYDROLASE 1 (ATCPFHY1);FLAVIN MONONUCLEOTIDE HYDROLASE 1 (FHY1),-0.502378810633032,4.26609969456188e-4,FALSE,FALSE
AT1G80480,upregulated,"plastid transcriptionally active 17 (PTAC17); LOCATED IN: plastid chromosome, chloroplast stroma, chloroplast, nucleoid; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cobalamin (vitamin B12) biosynthesis CobW-like (InterPro:IPR003495), Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal (InterPro:IPR011629); BEST Arabidopsis thaliana protein match is: Cobalamin biosynthesis CobW-like protein (TAIR:AT1G15730.1); Has 22612 Blast hits to 14499 proteins in 1972 species: Archae - 190; Bacteria - 10146; Metazoa - 2946; Fungi - 801; Plants - 655; Viruses - 16; Other Eukaryotes - 7858 (source: NCBI BLink).",PLASTID TRANSCRIPTIONALLY ACTIVE 17 (PTAC17),0.49791258777481,6.05272248105427e-4,FALSE,FALSE
AT2G01420,downregulated,"Encodes a putative auxin efflux carrier that is localized in developing and mature root meristems.  It is involved in the maintenance of embryonic auxin gradients.  A role for AtPIN4 in generating a sink for auxin below the quiescent center of the root meristem that is essential for auxin distribution and patterning is proposed. In the root, PIN4 is detected around the quiescent center and cells surrounding it, and localizes basally in provascular cells. PIN4 expression is upregulated in brassinosteroid-insensitive mutant (PMID 16141452).",PIN-FORMED 4 (PIN4),-0.585551079660259,1.20605348269166e-4,FALSE,FALSE
AT2G01530,upregulated,"MLP-like protein 329 (MLP329); FUNCTIONS IN: copper ion binding; INVOLVED IN: response to biotic stimulus, defense response; LOCATED IN: cellular_component unknown; EXPRESSED IN: hypocotyl, root; CONTAINS InterPro DOMAIN/s: Bet v I allergen (InterPro:IPR000916); BEST Arabidopsis thaliana protein match is: MLP-like protein 328 (TAIR:AT2G01520.1); Has 358 Blast hits to 331 proteins in 39 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 358; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",(ZUSAMMEN-CA)-ENHANCED 2 (ZCE2);MLP-LIKE PROTEIN 329 (MLP329),1.22531028621985,1.1770896820728e-11,FALSE,FALSE
AT2G01880,upregulated,"purple acid phosphatase 7 (PAP7); FUNCTIONS IN: protein serine/threonine phosphatase activity, acid phosphatase activity; LOCATED IN: endomembrane system; EXPRESSED IN: 7 plant structures; CONTAINS InterPro DOMAIN/s: Metallophosphoesterase (InterPro:IPR004843); BEST Arabidopsis thaliana protein match is: purple acid phosphatase 17 (TAIR:AT3G17790.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",PURPLE ACID PHOSPHATASE 7 (ATPAP7);PURPLE ACID PHOSPHATASE 7 (PAP7),1.16701156683466,5.78194890686753e-4,FALSE,FALSE
AT2G02080,downregulated,"indeterminate(ID)-domain 4 (IDD4); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; LOCATED IN: intracellular, chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087), Zinc finger, double-stranded RNA binding (InterPro:IPR022755); BEST Arabidopsis thaliana protein match is: C2H2-like zinc finger protein (TAIR:AT1G14580.2); Has 51298 Blast hits to 20221 proteins in 333 species: Archae - 2; Bacteria - 165; Metazoa - 48118; Fungi - 358; Plants - 855; Viruses - 7; Other Eukaryotes - 1793 (source: NCBI BLink).",INDETERMINATE(ID)-DOMAIN 4 (IDD4);INDETERMINATE(ID)-DOMAIN 4 (AtIDD4),-0.593590334647455,6.81582771720986e-5,FALSE,FALSE
AT2G02100,upregulated,"Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2.",LOW-MOLECULAR-WEIGHT CYSTEINE-RICH 69 (LCR69); (PDF2.2),0.413045692248026,0.00332481334788359,FALSE,FALSE
AT2G02740,upregulated,"Encodes a homolog of the potato p24 protein.  It shares the conserved KGKAAL domain, a putative DNA-binding domain, with potato p24 and is localized to the plastid and not the nucleus.",WHIRLY 3 (WHY3);A. THALIANA WHIRLY 3 (ATWHY3);PLASTID TRANSCRIPTIONALLY ACTIVE11 (PTAC11),0.670578902734498,3.0394488580398e-4,FALSE,FALSE
AT2G03070,downregulated,Encodes a subunit of the Mediator complex.  Regulates plant defense and flowering.,MEDIATOR SUBUNIT 8 (MED8),-0.585841027018282,2.6584865075613e-4,TRUE,TRUE
AT2G03090,downregulated,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",EXPANSIN A15 (ATEXPA15);EXPANSIN 15 (EXP15);EXPANSIN A15 (EXPA15); (ATHEXP ALPHA 1.3); (ATEXP15),-0.632055909142269,6.00332230885689e-5,FALSE,FALSE
AT2G03310,downregulated,unknown protein; Has 17 Blast hits to 17 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 17; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-0.557405503058682,0.00135443325598767,FALSE,FALSE
AT2G03590,downregulated,Encodes a member of a class of allantoin transporters.,UREIDE PERMEASE 1 (UPS1);UREIDE PERMEASE 1 (ATUPS1),-1.04548210974088,6.93350542543681e-4,FALSE,FALSE
AT2G03750,downregulated,P-loop containing nucleoside triphosphate hydrolases superfamily protein; FUNCTIONS IN: sulfotransferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Sulfotransferase domain (InterPro:IPR000863); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G45070.1); Has 2643 Blast hits to 2603 proteins in 174 species: Archae - 0; Bacteria - 153; Metazoa - 1676; Fungi - 1; Plants - 545; Viruses - 0; Other Eukaryotes - 268 (source: NCBI BLink).,NA,-0.461505781867014,0.00256053371149089,FALSE,FALSE
AT2G04030,upregulated,"Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.",(CR88);EMBRYO DEFECTIVE 1956 (emb1956);HEAT SHOCK PROTEIN 90.5 (AtHsp90.5);HEAT SHOCK PROTEIN 88.1 (Hsp88.1);HEAT SHOCK PROTEIN 90.5 (HSP90.5),0.867800958011239,4.19968685872568e-6,FALSE,FALSE
AT2G04032,downregulated,"zinc transporter 7 precursor (ZIP7); FUNCTIONS IN: cation transmembrane transporter activity, zinc ion transmembrane transporter activity, metal ion transmembrane transporter activity; INVOLVED IN: cation transport, zinc ion transport, metal ion transport, transmembrane transport; LOCATED IN: endomembrane system, integral to membrane, membrane; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Zinc/iron permease, fungal/plant (InterPro:IPR004698), Zinc/iron permease (InterPro:IPR003689); BEST Arabidopsis thaliana protein match is: iron-regulated transporter 1 (TAIR:AT4G19690.2); Has 1848 Blast hits to 1741 proteins in 306 species: Archae - 0; Bacteria - 134; Metazoa - 385; Fungi - 602; Plants - 510; Viruses - 0; Other Eukaryotes - 217 (source: NCBI BLink).",ZINC TRANSPORTER 7 PRECURSOR (ZIP7),-1.45864289240564,2.72306483578881e-5,FALSE,FALSE
AT2G04230,downregulated,"FBD, F-box and Leucine Rich Repeat domains containing protein; CONTAINS InterPro DOMAIN/s: F-box domain, cyclin-like (InterPro:IPR001810), FBD (InterPro:IPR013596), F-box domain, Skp2-like (InterPro:IPR022364), FBD-like (InterPro:IPR006566), Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: FBD, F-box and Leucine Rich Repeat domains containing protein (TAIR:AT3G49030.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",NA,-0.612597246206135,0.00100636194445559,FALSE,TRUE
AT2G04530,upregulated,Encodes a protein with RNAse Z activity suggesting a role in tRNA processing. Protein contains a signal sequence for import into the chloroplast.,TRNASE Z 2 (TRZ2); (CPZ),0.617005788787664,9.92459375296438e-4,FALSE,TRUE
AT2G05070,downregulated,Encodes Lhcb2.2.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2 (LHCB2);PHOTOSYSTEM II LIGHT HARVESTING COMPLEX GENE 2.2 (LHCB2.2),-1.62389969745981,2.29482757575065e-19,FALSE,FALSE
AT2G05100,downregulated,Lhcb2.1 protein encoding a subunit of the light harvesting complex II. Member of a gene family with high degree of sequence similarity. Initially LHCB2.3 was considered as a separate gene but appears to be an allele of LHCB2.1.,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2 (LHCB2);PHOTOSYSTEM II LIGHT HARVESTING COMPLEX GENE 2.1 (LHCB2.1),-1.36102018821437,5.03243378063678e-13,TRUE,FALSE
AT2G05510,upregulated,Glycine-rich protein family; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Glycine rich protein (InterPro:IPR010800); BEST Arabidopsis thaliana protein match is: GLYCINE RICH PROTEIN 9 (TAIR:AT2G05440.1); Has 96640 Blast hits to 23865 proteins in 1692 species: Archae - 84; Bacteria - 39011; Metazoa - 28988; Fungi - 5285; Plants - 9450; Viruses - 1132; Other Eukaryotes - 12690 (source: NCBI BLink).,NA,1.43061033159435,6.42892280306824e-8,FALSE,FALSE
AT2G06950,upregulated,"transposable element gene; copia-like retrotransposon family, has a 2.7e-243 P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element)",NA,0.841637173195647,3.54052551813432e-7,FALSE,FALSE
AT2G13550,upregulated,unknown protein; Has 23 Blast hits to 20 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink).,NA,0.667695043942005,8.15604893160291e-4,FALSE,FALSE
AT2G13810,downregulated,"AGD2-like defense response protein 1 (ALD1); FUNCTIONS IN: transferase activity, transferring nitrogenous groups, pyridoxal phosphate binding, transaminase activity, catalytic activity; INVOLVED IN: asparagine catabolic process, biosynthetic process, glutamate catabolic process to oxaloacetate, aspartate transamidation; LOCATED IN: chloroplast; EXPRESSED IN: sepal, root, stamen; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: LL-diaminopimelate aminotransferase, plant-related (InterPro:IPR019942), Aminotransferase, class I/classII (InterPro:IPR004839), Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (InterPro:IPR015422); BEST Arabidopsis thaliana protein match is: Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (TAIR:AT4G33680.1); Has 32741 Blast hits to 32741 proteins in 2900 species: Archae - 975; Bacteria - 23252; Metazoa - 372; Fungi - 435; Plants - 591; Viruses - 0; Other Eukaryotes - 7116 (source: NCBI BLink).",EDS TWO SUPPRESSOR 5 (EDTS5);AGD2-LIKE DEFENSE RESPONSE PROTEIN 1 (ALD1),-1.32976723303556,0.00284855829376881,FALSE,FALSE
AT2G13975,downregulated,transposable element gene; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43920.1); similar to GRF zinc finger containing protein [Brassica oleracea] (GB:ABD64950.1),NA,-0.692062080495562,8.043663008834e-4,FALSE,TRUE
AT2G14100,upregulated,a member of the cytochrome P450 family,"CYTOCHROME P450, FAMILY 705, SUBFAMILY A, POLYPEPTIDE 13 (CYP705A13)",1.2508271231653,6.97861742985708e-5,FALSE,FALSE
AT2G14247,upregulated,Expressed protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,NA,1.75964218712528,6.97796596152287e-5,FALSE,FALSE
AT2G14560,downregulated,"Encodes LURP1, a member of the LURP cluster (late upregulated in response to Hyaloperonospora parasitica) which exhibits a pronounced upregulation after recognition of the pathogenic oomycte H. parasitica.  LURP1 is required for full basal defense to H. parasitica and resistance to this pathogen mediated by the R-proteins RPP4 and RPP5.",LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA (LURP1),-1.55154589605958,7.39909004307691e-14,FALSE,FALSE
AT2G14580,downregulated,"pathogenesis related protein, encodes a basic PR1-like protein. Expresses in flowers, roots, and not in leaves and responses to ethylene and methyl jasmonate. Salicylic acid represses gene expression.",BASIC PATHOGENESIS-RELATED PROTEIN 1 (PRB1);BASIC PATHOGENESIS-RELATED PROTEIN 1 (ATPRB1),-2.1230877534641,1.47716437778884e-11,FALSE,FALSE
AT2G15040,downregulated,"pseudogene, disease resistance protein-related, low similarity to disease resistance protein Cf-2.1 (Lycopersicon pimpinellifolium) GI:1184075; contains Pfam profile PF00560: Leucine Rich Repeat; blastp match of 38% identity and 4.4e-96 P-value to GP|1184075|gb|AAC15779.1||U42444 Cf-2.1 {Lycopersicon pimpinellifolium}",RECEPTOR LIKE PROTEIN 18 (AtRLP18);RECEPTOR LIKE PROTEIN 18 (RLP18),-2.60084187609242,7.1286648081678e-17,FALSE,TRUE
AT2G15042,downregulated,Leucine-rich repeat (LRR) family protein; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: Leucine-rich repeat (InterPro:IPR001611); BEST Arabidopsis thaliana protein match is: receptor like protein 34 (TAIR:AT3G11010.1); Has 56306 Blast hits to 17936 proteins in 777 species: Archae - 23; Bacteria - 1630; Metazoa - 5114; Fungi - 406; Plants - 45797; Viruses - 0; Other Eukaryotes - 3336 (source: NCBI BLink).,NA,-2.66981527693129,1.25181840758401e-20,FALSE,FALSE
AT2G15080,downregulated,"receptor like protein 19 (RLP19); FUNCTIONS IN: kinase activity; INVOLVED IN: signal transduction, defense response; LOCATED IN: endomembrane system; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611); BEST Arabidopsis thaliana protein match is: receptor like protein 53 (TAIR:AT5G27060.1); Has 148554 Blast hits to 34281 proteins in 1300 species: Archae - 57; Bacteria - 11858; Metazoa - 32168; Fungi - 1631; Plants - 90272; Viruses - 42; Other Eukaryotes - 12526 (source: NCBI BLink).",RECEPTOR LIKE PROTEIN 19 (RLP19);RECEPTOR LIKE PROTEIN 19 (AtRLP19),-0.705594181323429,2.43164593442803e-5,FALSE,FALSE
AT2G15580,downregulated,"RING/U-box superfamily protein; FUNCTIONS IN: zinc ion binding; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, RING-type (InterPro:IPR001841), Zinc finger, C3HC4 RING-type (InterPro:IPR018957); BEST Arabidopsis thaliana protein match is: Zinc finger, C3HC4 type (RING finger) family protein (TAIR:AT1G68070.1); Has 8108 Blast hits to 8088 proteins in 256 species: Archae - 0; Bacteria - 2; Metazoa - 2204; Fungi - 504; Plants - 4280; Viruses - 5; Other Eukaryotes - 1113 (source: NCBI BLink).",NA,-0.492252262404724,5.16177654617596e-4,FALSE,FALSE
